job_id,config_hash,timestamp,success,mean_score,std_score,mean_train_score,fit_time_mean,score_time_mean,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,f1_macro_mean,f1_macro_std,f1_micro_mean,f1_micro_std,f1_weighted_mean,f1_weighted_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,roc_auc_ovr_mean,roc_auc_ovr_std
0,1a259f0403b7,2026-04-14 10:51:40,True,0.9693617021276596,0.0049625122509321775,0.9890070921985815,3.3731477737426756,0.19592838287353515,275,4,0.01,1.0,1.0,1,0,0.9677186801616269,0.005318143214408457,0.9693617021276596,0.0049625122509321775,0.9693312458944428,0.005008251807702002,0.9685213128723881,0.004240246414689983,0.9671278495995826,0.006851273274538366,0.9981482015885078,0.0006341552008407717
1,dbdbf2693a04,2026-04-14 10:51:49,True,0.9693617021276596,0.0030554126565302195,1.0,1.5978713035583496,0.06415333747863769,300,4,0.22,1.0,1.0,1,0,0.9677862525813298,0.003296077586164868,0.9693617021276596,0.0030554126565302195,0.9693634049992095,0.003095382535685234,0.9676793954391798,0.002426156733500861,0.968051784884446,0.004774386609106439,0.9981499577127634,0.0005880625402025076
2,ef6ebbf9651b,2026-04-14 10:51:51,True,0.9676595744680851,0.0038481304868795904,1.0,0.3121970176696777,0.059489202499389646,50,6,0.08,1.0,1.0,1,0,0.9660145352635541,0.004104388649308257,0.9676595744680851,0.0038481304868795904,0.9676696450998552,0.003873830907856459,0.9657288411677083,0.003681609221852478,0.9665280557133851,0.005411657625112341,0.9980466926282359,0.0005483899112212458
3,c1a616f68084,2026-04-14 10:51:57,True,0.9682269503546099,0.004626810334836912,1.0,1.0413487911224366,0.06138801574707031,200,12,0.09,1.0,1.0,1,0,0.9665939816600012,0.004965612146856968,0.9682269503546099,0.004626810334836912,0.9682287004128938,0.004673392715500297,0.9664558918712391,0.003951676899342446,0.9669907656963416,0.0066747365671714605,0.9980331195226965,0.000544634391002132
4,716ba47356d6,2026-04-14 10:52:01,True,0.9662411347517731,0.004051874285698044,1.0,0.6135127067565918,0.06716523170471192,125,5,0.07,1.0,1.0,1,0,0.9644967327063751,0.0043678277097896475,0.9662411347517731,0.004051874285698044,0.9662390151256506,0.004100133045787141,0.9644964217897911,0.0034426490410171197,0.9647045653351501,0.00589414856403678,0.9979603274576375,0.000617217290506303
5,d7818960802d,2026-04-14 10:52:07,True,0.9699290780141844,0.004339591075398121,1.0,1.0657580852508546,0.08399462699890137,50,8,0.28,1.0,1.0,1,0,0.9683712632236695,0.004682230057138828,0.9699290780141844,0.004339591075398121,0.9699248464162441,0.00439445190709159,0.96837080209404,0.0033005509741987657,0.9686466522476038,0.006676527515509061,0.9980906806635671,0.0005381550441871715
6,ff7d92216772,2026-04-14 10:52:17,True,0.9693617021276596,0.004626810334836912,1.0,1.8054110050201415,0.06355714797973633,225,4,0.3,1.0,1.0,1,0,0.9677773999442403,0.004924719645708318,0.9693617021276596,0.004626810334836912,0.9693600990306152,0.004650521971940559,0.9677909073066807,0.0044651038431033465,0.9679159376783414,0.0058617393482421195,0.9982294056288195,0.0006402022080124069
7,e642fd440fd3,2026-04-14 10:52:25,True,0.9687943262411347,0.0029753442501280936,1.0,1.3570173263549805,0.06090221405029297,250,6,0.23,1.0,1.0,1,0,0.967200446645901,0.003187485921561189,0.9687943262411347,0.0029753442501280936,0.9688011549187566,0.003002352313610957,0.9669951511589379,0.0027640920058463903,0.9675896144795393,0.004518687924763044,0.9981499532443265,0.0006004606554455055
8,9451a7cc5239,2026-04-14 10:52:27,True,0.9679432624113474,0.005122119173125621,1.0,0.4096992969512939,0.06744265556335449,50,6,0.28,1.0,1.0,1,0,0.966304658182166,0.005444164110144701,0.9679432624113474,0.005122119173125621,0.9679496150564353,0.005148508929731766,0.9660573061776058,0.004781621920941914,0.9667582075568066,0.0067460821432758595,0.9981076118565527,0.0005635741527250541
9,733913ab4465,2026-04-14 10:52:40,True,0.9670921985815604,0.005977675888143376,1.0,2.3892080307006838,0.09551234245300293,275,8,0.06,1.0,1.0,1,0,0.9653740751118693,0.006374102522368909,0.9670921985815604,0.005977675888143376,0.9670820825872228,0.006016828724471085,0.96551214630815,0.005379284313513893,0.9654011605976548,0.007733765904991634,0.9980348264941487,0.0005944791902223295
10,6779c4f5d736,2026-04-14 10:53:11,True,0.9679432624113474,0.00342781446059421,1.0,5.730348253250122,0.1619277000427246,300,13,0.21,1.0,1.0,1,0,0.9662934476458283,0.003722384851884477,0.9679432624113474,0.00342781446059421,0.9679439903074558,0.0034817777171805768,0.9662033746882891,0.0025107569405940977,0.9666289960507685,0.005685631143134375,0.9981008286551105,0.0005463317995877086
11,722b3e1c7fef,2026-04-14 10:53:23,True,0.9687943262411347,0.004111028864167223,1.0,2.326495361328125,0.09542884826660156,200,9,0.09,1.0,1.0,1,0,0.9671645561481412,0.004431607063950156,0.9687943262411347,0.004111028864167223,0.9687837601994891,0.004161128382118169,0.9673956838303848,0.0033315799167737744,0.967189452513032,0.006259198584138299,0.998044954377727,0.0005707794784780533
12,3971b6638a45,2026-04-14 10:53:28,True,0.9665248226950354,0.005855253174624176,0.9997872340425532,0.7031507015228271,0.09717011451721191,25,15,0.11,1.0,1.0,1,0,0.9648105191604867,0.006166064549177499,0.9665248226950354,0.005855253174624176,0.9665300158851038,0.00585981640150123,0.964739495616184,0.006329686459577371,0.9650689892607499,0.006638749054492273,0.9979078470151934,0.0006251492518898298
13,3279aac3a7a0,2026-04-14 10:53:48,True,0.9687943262411348,0.004302340677476064,1.0,3.679118585586548,0.13142614364624022,250,14,0.11,1.0,1.0,1,0,0.967214477030806,0.004587588609470326,0.9687943262411348,0.004302340677476064,0.968808261588781,0.004328530637222478,0.9667767966782431,0.004088076926220216,0.9678496562257658,0.005730896234965175,0.9979958565991307,0.0005629010570824865
14,0d6e6eafc690,2026-04-14 10:53:57,True,0.9704964539007092,0.001654170750310726,1.0,1.6066182136535645,0.08717117309570313,75,7,0.05,1.0,1.0,1,0,0.9689713180514893,0.0018542097478046354,0.9704964539007092,0.001654170750310726,0.9704937284216276,0.0017092013859163235,0.9690748894490874,0.0012988168105512994,0.9691138832286503,0.0039533122957582855,0.998060263499557,0.00048775967335999514
15,ca82580d01ab,2026-04-14 10:54:03,True,0.9682269503546099,0.004797598446890152,1.0,1.1286563873291016,0.07199416160583497,150,6,0.05,1.0,1.0,1,0,0.9666055543607135,0.005132941068613503,0.9682269503546099,0.004797598446890152,0.9682351429854623,0.004836205115183444,0.9662496358972209,0.004115140348399831,0.9671205167804298,0.006512864976879162,0.9979958521306942,0.0006496180322590037
16,d3b57c9cf714,2026-04-14 10:54:06,True,0.9659574468085106,0.005456846542318096,1.0,0.4869659423828125,0.05671215057373047,75,13,0.06,1.0,1.0,1,0,0.9641935340591112,0.0058057115762032594,0.9659574468085106,0.005456846542318096,0.9659532025395343,0.0054876345924416,0.9642078589161155,0.004968957740938169,0.9643385226754007,0.007089134169926628,0.997929820924894,0.0005407222104294984
17,e1b3c2ca3ec3,2026-04-14 10:54:12,True,0.9693617021276595,0.0038689877154569857,1.0,0.9108419418334961,0.05890045166015625,250,10,0.17,1.0,1.0,1,0,0.9677612841051723,0.004189028086731976,0.9693617021276595,0.0038689877154569857,0.9693511061782629,0.003927431119294538,0.9679535180732046,0.002650896316270504,0.9677896284362429,0.006135694671945954,0.9981414831793973,0.0005632341511016737
18,d7532b333cba,2026-04-14 10:54:20,True,0.9665248226950354,0.004264764930034841,1.0,1.4274397850036622,0.0758965015411377,275,8,0.04,1.0,1.0,1,0,0.9648284467223869,0.004574897017179147,0.9665248226950354,0.004264764930034841,0.9665387616774723,0.0043059313778014575,0.9643596272650001,0.0035968883100586887,0.9654659573691806,0.0060076207064409075,0.9980432853879865,0.0005859908653208733
19,2541143a7471,2026-04-14 10:54:21,True,0.9687943262411347,0.005673758865248235,1.0,0.13422646522521972,0.06556634902954102,25,14,0.29,1.0,1.0,1,0,0.9671988503695266,0.006010407269760496,0.9687943262411347,0.005673758865248235,0.9688012610460476,0.005691240411129104,0.9669805892781932,0.005750568202975584,0.9675843059194863,0.006779930843397185,0.9981312659270856,0.0005019415355921296
