,job_id,config_hash,timestamp,success,cv_scores,mean_score,std_score,train_scores,mean_train_score,fit_time_mean,score_time_mean,hyperparameters.n_estimators,hyperparameters.max_depth,hyperparameters.learning_rate,hyperparameters.subsample,additional_metrics.neg_mean_squared_error.mean,additional_metrics.neg_mean_squared_error.std,additional_metrics.neg_mean_absolute_error.mean,additional_metrics.neg_mean_absolute_error.std,additional_metrics.neg_root_mean_squared_error.mean,additional_metrics.neg_root_mean_squared_error.std
0,0,e3b746d5e1ca,2026-03-21 11:54:11,True,[0.2096235  0.21545804 0.21522819 0.21802118 0.21114659],0.21389550050308737,0.0030674216724235004,[0.21686651 0.21529292 0.21606598 0.21459247 0.21689677],0.21594292999514283,0.368287992477417,0.001773834228515625,25,3,0.01,0.5,-1.0465323259569945,0.018186571433396907,-0.8080230516918597,0.006294547533729234,-1.0229630209482894,0.008887279074267933
1,1,76faeea40797,2026-03-21 11:54:12,True,[0.20902417 0.21486093 0.2145762  0.21823089 0.21088056],0.21351454840447365,0.003233732541170728,[0.21635817 0.21494936 0.21589567 0.21453462 0.21659488],0.21566654074908467,0.44321408271789553,0.0019336700439453124,25,3,0.01,0.55,-1.0470379047319112,0.018159485540003774,-0.8082381249953243,0.006182464102043301,-1.0232102529381213,0.008870344650416292
2,2,1406d8a36556,2026-03-21 11:54:12,True,[0.20878111 0.214873   0.21512789 0.2180905  0.21013162],0.21340082387604142,0.003440132858336338,[0.21638505 0.21483593 0.21616163 0.21447302 0.21606401],0.21558392830534098,0.4759356498718262,0.0018332481384277343,25,3,0.01,0.6,-1.0471937916674063,0.018480007621092014,-0.8082704778660889,0.006414585164321074,-1.0232850456041132,0.009028128842353373
3,3,72d82b10877c,2026-03-21 11:54:24,True,[0.20893448 0.21460639 0.21496662 0.21753109 0.21032909],0.2132735338368148,0.003170709127529604,[0.21640739 0.21451935 0.21593449 0.21413459 0.2161622 ],0.21543160284007118,0.4633291244506836,0.001518583297729492,25,3,0.01,0.65,-1.047364382628043,0.018461628519177358,-0.8083032995528201,0.006388828087829614,-1.0233684829032683,0.009018360621888455
4,4,03253e7cb228,2026-03-21 11:54:26,True,[0.20892499 0.2146252  0.21500758 0.21743563 0.21063686],0.2133260512978224,0.0030985488489523984,[0.2163696  0.21467992 0.2161689  0.21424248 0.21652984],0.21559814425507867,0.6379438877105713,0.002464008331298828,25,3,0.01,0.7,-1.0472936716875239,0.018393208599367734,-0.8082311043687185,0.006461411793930453,-1.0233342247313097,0.008985331440371808
5,5,99a5b4831780,2026-03-21 11:54:13,True,[0.20905571 0.21471884 0.21487215 0.21737356 0.21065861],0.21333577481803453,0.003035233290852755,[0.21662374 0.21489441 0.21599986 0.21369682 0.21657071],0.21555710807468112,0.669533634185791,0.0024087905883789064,25,3,0.01,0.75,-1.0472797590679996,0.018319428670751627,-0.8083022919606734,0.006364968524723989,-1.0233277436426238,0.008949198807474119
6,6,925e39f5913e,2026-03-21 11:54:13,True,[0.20886466 0.21491735 0.21463706 0.21769114 0.21039968],0.21330197666771666,0.00321775478603882,[0.21635234 0.21495004 0.21575975 0.21423218 0.21646236],0.21555133484966413,0.7047587871551514,0.0022761344909667967,25,3,0.01,0.8,-1.0473218058676232,0.018207182127499947,-0.8083747586000414,0.0063066589698777785,-1.023348769550522,0.008893915170273157
7,7,0b6693b4b82c,2026-03-21 11:54:14,True,[0.20953086 0.21462365 0.21452166 0.21754115 0.21080047],0.21340355974129918,0.0028855628654893156,[0.21687922 0.21466805 0.21571668 0.21366672 0.21674037],0.21553420830219436,0.7784708976745606,0.0022179126739501954,25,3,0.01,0.85,-1.0471895709303394,0.018282589491735866,-0.8081838372310928,0.006430083952807611,-1.0232838443163512,0.008929999523466478
8,8,cfae9930810c,2026-03-21 11:54:14,True,[0.2093984  0.21486304 0.21447737 0.21710482 0.2113427 ],0.2134372673502279,0.0027300265385760115,[0.21673627 0.21511256 0.2154758  0.21371357 0.21679144],0.21556592837183636,0.7817616939544678,0.0020789146423339845,25,3,0.01,0.9,-1.0471407636404968,0.018009737030822363,-0.8081358173936183,0.006327862650749508,-1.0232611417590272,0.008797693249328076
9,9,57d75a8a41c9,2026-03-21 11:54:14,True,[0.20890514 0.21516651 0.21423417 0.21745268 0.21111657],0.21337501252445254,0.0030217664114966557,[0.21637878 0.2152702  0.21546844 0.21359151 0.21685252],0.21551229134091177,0.7680516719818116,0.0018065929412841796,25,3,0.01,0.95,-1.0472185459866306,0.017795428125585516,-0.8081491102268036,0.0062040210216947785,-1.0233000444050266,0.008692819295308967
10,10,0bd5a6b8f520,2026-03-21 11:54:14,True,[0.20939161 0.2151942  0.21411006 0.21744672 0.21099997],0.21342851225159495,0.0028956034725374853,[0.21678266 0.215333   0.21576936 0.2140227  0.21669778],0.21572110250904547,0.8011304855346679,0.0018089771270751952,25,3,0.01,1.0,-1.0471487553936922,0.017843085539295842,-0.808079513492115,0.006194967552515637,-1.0232657474091977,0.00871582312740227
11,11,ad6f4c484419,2026-03-21 11:54:13,True,[0.34566493 0.35641473 0.35380064 0.36033372 0.34953122],0.3531490491274006,0.005134384973361785,[0.35831558 0.35581291 0.35607177 0.35401715 0.35862656],0.35656879480584175,0.4290205478668213,0.0020238399505615235,25,3,0.02,0.5,-0.8611152465448704,0.014384285926580927,-0.7300568237245348,0.005337317775890814,-0.9279305808325511,0.007751367662210768
12,12,450f2606fb38,2026-03-21 11:54:13,True,[0.34454492 0.355317   0.35387713 0.3598105  0.34918847],0.3525476046368801,0.005244302106460337,[0.35738773 0.35485453 0.35588667 0.35374231 0.35854062],0.3560823727199538,0.466837215423584,0.0019659996032714844,25,3,0.02,0.55,-0.861920555451259,0.014733915203829695,-0.7303433477620828,0.005656806827027763,-0.9283628337540518,0.007937528293212292
13,13,91dec25544a9,2026-03-21 11:54:13,True,[0.34516644 0.35586636 0.35455502 0.35949268 0.34879075],0.3527742500103553,0.0051306259974879765,[0.35818627 0.35503017 0.35631257 0.35350229 0.35791231],0.3561887195018845,0.5040966987609863,0.0020158767700195314,25,3,0.02,0.6,-0.8616229732520896,0.01489652000335048,-0.730018072605177,0.005737111534863278,-0.9282017708769313,0.008027813713480375
14,14,b156f04df74d,2026-03-21 11:54:13,True,[0.34477438 0.35562385 0.35386609 0.35951277 0.34912636],0.3525806896290174,0.005134933519834117,[0.35760447 0.35509638 0.35581205 0.35326368 0.35801547],0.3559584100180052,0.5493226528167725,0.0021608829498291015,25,3,0.02,0.65,-0.8618755491918229,0.014607386389617843,-0.7302289923159929,0.00553832021225485,-0.9283391695608698,0.007869907931957791
15,15,c52dc7259792,2026-03-21 11:54:13,True,[0.34441071 0.35512669 0.35358073 0.3598864  0.34834995],0.3522708954845692,0.005385602496143287,[0.35726517 0.35485832 0.35563721 0.35312964 0.35780628],0.3557393245436918,0.6819725513458252,0.0027683258056640627,25,3,0.02,0.7,-0.8622903462690743,0.014913468680941924,-0.7304871266554376,0.005733831059645986,-0.9285611635407346,0.008031925855714259
16,16,19920bcda863,2026-03-21 11:54:14,True,[0.34542611 0.35513965 0.35327169 0.35945913 0.34878474],0.35241626245093916,0.004894911895194933,[0.35829504 0.35501481 0.35599567 0.35302979 0.35800105],0.3560672711442584,0.6237162113189697,0.002387380599975586,25,3,0.02,0.75,-0.8620979694502511,0.014680592846360039,-0.7302859343164566,0.005761847270262215,-0.9284586530759729,0.007905629551221401
17,17,2311dc56fb5c,2026-03-21 11:54:14,True,[0.34583295 0.35557666 0.35301976 0.3594552  0.348506  ],0.3524781144058829,0.004868471044319601,[0.35859129 0.35525689 0.35595918 0.35320118 0.35789505],0.35618071908954396,0.6639884948730469,0.0022212505340576173,25,3,0.02,0.8,-0.8620135807116677,0.014544900102913882,-0.7301524054825914,0.00557447694513364,-0.9284138276707774,0.007832324135511994
18,18,bb52d0116594,2026-03-21 11:54:14,True,[0.34548845 0.35550247 0.3523677  0.35986489 0.34866115],0.3523769319894886,0.00504176489778665,[0.3581174  0.35504764 0.35550981 0.35334043 0.35802364],0.35600778309371117,0.691382360458374,0.0018868446350097656,25,3,0.02,0.85,-0.8621428226444579,0.014329620706254006,-0.7302179653408929,0.0054725072351954705,-0.9284844133267564,0.007714716697783939
19,19,1284e02af783,2026-03-21 11:54:14,True,[0.34530668 0.35562291 0.35224537 0.3587564  0.34871341],0.35212895411650696,0.004782337717688485,[0.35788802 0.35542944 0.35535816 0.35314294 0.35798351],0.35596041405528595,0.7368385791778564,0.002180671691894531,25,3,0.02,0.9,-0.8624708395653856,0.014041980543149948,-0.7303126333408779,0.0054628701103196665,-0.9286623109948113,0.007559874546716195
20,20,be1996798286,2026-03-21 11:54:25,True,[0.34521748 0.35587288 0.35226259 0.35948407 0.34859557],0.35228651639957204,0.005064816427961382,[0.3577944  0.35553303 0.35523702 0.35342295 0.35799623],0.355996726805177,0.7290667533874512,0.0019443511962890625,25,3,0.02,0.95,-0.8622591687324794,0.014098493956732275,-0.7302072232653645,0.005271944797343917,-0.9285480862831607,0.007590796556318126
