job_id,config_hash,timestamp,success,mean_score,std_score,mean_train_score,fit_time_mean,score_time_mean,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,f1_macro_mean,f1_macro_std,f1_micro_mean,f1_micro_std,f1_weighted_mean,f1_weighted_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,roc_auc_ovr_mean,roc_auc_ovr_std
0,1a259f0403b7,2026-04-14 15:19:48,True,0.7327317953470225,0.025488458191576854,0.7901906057716254,1.5574889659881592,0.04834141731262207,275,4,0.01,1.0,1.0,1,0,0.7310092831903329,0.026585044544046147,0.7327317953470225,0.025488458191576854,0.7266689022878356,0.0256301290612122,0.7400109598467204,0.02795089132180938,0.7337998304637847,0.026902468985553325,0.8985595578625791,0.011046012120806898
1,dbdbf2693a04,2026-04-14 15:19:57,True,0.8501292493781397,0.027488435193887155,0.9277620525654029,1.5801773548126221,0.045157575607299806,300,4,0.22,1.0,1.0,1,0,0.8551158085942505,0.026852008635496343,0.8501292493781397,0.027488435193887155,0.8508001937937152,0.0269638129384992,0.8567580199174806,0.02526150401934375,0.8564268587932906,0.028641022597291493,0.9547148673880488,0.020752584241029753
2,ef6ebbf9651b,2026-04-14 15:19:59,True,0.7889967321855338,0.03145468040139289,0.8624267309713118,0.41211791038513185,0.044342565536499026,50,6,0.08,1.0,1.0,1,0,0.7906609303436263,0.030848901333933865,0.7889967321855338,0.03145468040139289,0.7867381087305475,0.03144542975454546,0.7957288464477026,0.027747342041444415,0.7917641131392794,0.033391219071008615,0.9307840448273297,0.012333911477489141
3,c1a616f68084,2026-04-14 15:20:17,True,0.8580110227771545,0.02430031824925122,0.9277620525654029,3.443262529373169,0.06632819175720214,200,12,0.09,1.0,1.0,1,0,0.8618585408145828,0.02380785197887692,0.8580110227771545,0.02430031824925122,0.8584757105040042,0.02380574566252683,0.8621460655874277,0.021990822924362288,0.8630362633867588,0.025894029503737037,0.9585769285281392,0.01761605718344492
4,716ba47356d6,2026-04-14 15:20:22,True,0.8146271277374042,0.024252577710777,0.8888087442979232,0.8862089157104492,0.04105672836303711,125,5,0.07,1.0,1.0,1,0,0.8181674086536905,0.02290577159830513,0.8146271277374042,0.024252577710777,0.814692583844316,0.023613270611884785,0.8213662375075621,0.02008838107356186,0.8171071801165949,0.025933367271601233,0.9387375615670333,0.0143038721905104
5,d7818960802d,2026-04-14 15:20:25,True,0.8589913671170073,0.026829990773756,0.9277620525654029,0.3962413787841797,0.032342720031738284,50,8,0.28,1.0,1.0,1,0,0.8632993163376554,0.02625207603010796,0.8589913671170073,0.026829990773756,0.8594814585356879,0.026376404614439578,0.864437337510459,0.024929329944640356,0.8642032678705126,0.028117934777247423,0.9592039496460109,0.01900548881770495
6,ff7d92216772,2026-04-14 15:20:30,True,0.8511193483880408,0.026543521912483426,0.9277620525654029,0.927113676071167,0.04587345123291016,225,4,0.3,1.0,1.0,1,0,0.8559563721247633,0.026052701199857878,0.8511193483880408,0.026543521912483426,0.8517469970481635,0.02607781082690708,0.8574431110846131,0.024636145629879577,0.8572398669233718,0.027798169023446347,0.9545619278517654,0.019511087195703172
7,e642fd440fd3,2026-04-14 15:20:37,True,0.8530897917377945,0.028661473251122935,0.9277620525654029,1.4516429424285888,0.039696025848388675,250,6,0.23,1.0,1.0,1,0,0.8577758719074604,0.027936865031173045,0.8530897917377945,0.028661473251122935,0.8536855458006285,0.028206724310821427,0.8590597705690008,0.026354859409291498,0.8588859574583513,0.02971504847685888,0.957633876384308,0.018668149919887134
8,9451a7cc5239,2026-04-14 15:20:39,True,0.8510998390479442,0.0247248291049101,0.9255428741503829,0.32010822296142577,0.03479514122009277,50,6,0.28,1.0,1.0,1,0,0.855859422695401,0.024084276917534588,0.8510998390479442,0.0247248291049101,0.8518125609017219,0.02428249505295563,0.8575856664193935,0.022868074467245283,0.856683406951959,0.026092287426382827,0.9539178794613242,0.017342425403900796
9,733913ab4465,2026-04-14 15:20:50,True,0.8560454567624249,0.026564332561542267,0.9277620525654029,1.962296199798584,0.04186058044433594,275,8,0.06,1.0,1.0,1,0,0.8605930280346621,0.02582293653844975,0.8560454567624249,0.026564332561542267,0.8564981163398471,0.026172403734473847,0.861562493266567,0.024365380384063336,0.861724094930635,0.02767001135563933,0.9586117088185425,0.019363416275895443
