job_id,config_hash,timestamp,success,mean_score,std_score,mean_train_score,fit_time_mean,score_time_mean,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,f1_macro_mean,f1_macro_std,f1_micro_mean,f1_micro_std,f1_weighted_mean,f1_weighted_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,roc_auc_ovr_mean,roc_auc_ovr_std
0,7bedc385a224,2026-04-15 14:30:48,True,1.0,0.0,1.0,4.2389219284057615,0.18270549774169922,250,5,0.24,0.9,0.7,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,fe1e311c9862,2026-04-15 14:31:05,True,1.0,0.0,1.0,2.8080532550811768,0.19096908569335938,125,4,0.2,0.7,0.9,11,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,7.021666937153402e-17
2,4944f02f2302,2026-04-15 14:31:42,True,1.0,0.0,1.0,6.363424587249756,0.2177206039428711,300,11,0.19,0.7,0.7,7,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3,f436ca56465c,2026-04-15 14:32:01,True,1.0,0.0,1.0,3.136090803146362,0.14004178047180177,25,15,0.07,0.7,0.9,5,0.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
4,7069c2a7400f,2026-04-15 14:32:34,True,1.0,0.0,1.0,5.486576414108276,0.21993327140808105,150,14,0.21,0.7,0.7,11,0.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
5,635ffc93ac28,2026-04-15 14:32:54,True,1.0,0.0,1.0,3.209917688369751,0.15729451179504395,125,3,0.07,0.7,0.9,7,0.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,9b9b05d7ab9c,2026-04-15 14:33:14,True,1.0,0.0,1.0,3.3546456336975097,0.1724428653717041,75,8,0.06,0.9,0.7,3,0.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
7,80e7e0b41c28,2026-04-15 14:33:28,True,1.0,0.0,1.0,2.149351215362549,0.1305293083190918,25,13,0.14,0.7,0.9,9,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
8,0e66fbaa0377,2026-04-15 14:33:50,True,1.0,0.0,1.0,3.7641257762908937,0.17449727058410644,175,9,0.29,0.9,0.9,7,0.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
9,6a0895f2c59c,2026-04-15 14:34:47,True,1.0,0.0,1.0,9.893720579147338,0.3407407760620117,300,10,0.09,0.7,0.7,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
10,9ffe3f781653,2026-04-15 14:35:18,True,1.0,0.0,1.0,5.1155433177948,0.21259899139404298,225,6,0.25,0.9,0.9,5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
11,73c8854a2884,2026-04-15 14:35:38,True,1.0,0.0,1.0,3.143095350265503,0.1678523063659668,50,12,0.18,0.9,0.7,9,0.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.965068306494546e-17
12,f5c319baff6f,2026-04-15 14:35:58,True,1.0,0.0,1.0,3.007124137878418,0.1690673828125,100,7,0.27,0.9,0.9,3,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
13,d739ab90a4a2,2026-04-15 14:36:38,True,1.0,0.0,1.0,6.901164627075195,0.21253523826599122,200,13,0.16,0.9,0.7,5,0.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
14,d4fa16161b13,2026-04-15 14:37:17,True,1.0,0.0,1.0,6.651249933242798,0.2604775905609131,275,11,0.23,0.7,0.9,1,0.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
15,12bf9f988bf6,2026-04-15 14:37:54,True,1.0,0.0,1.0,6.075860834121704,0.2325960159301758,275,3,0.13,0.9,0.7,11,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
16,998b0d6f5492,2026-04-15 14:38:32,True,1.0,0.0,1.0,6.612473249435425,0.2288809299468994,200,12,0.08,0.7,0.9,3,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
17,24192bb95e00,2026-04-15 14:39:05,True,1.0,0.0,1.0,5.373571681976318,0.2377687931060791,225,7,0.15,0.7,0.7,9,0.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
18,9bb5cea0ccbc,2026-04-15 14:39:34,True,1.0,0.0,1.0,4.740836191177368,0.19453821182250977,150,10,0.26,0.9,0.9,9,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
19,4e60c4da45cd,2026-04-15 14:40:26,True,1.0,0.0,1.0,8.900386476516724,0.2684746265411377,100,15,0.03,0.9,0.7,7,0.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
20,93fb56ef255e,2026-04-15 14:40:54,True,1.0,0.0,1.0,4.579859209060669,0.2054600238800049,50,9,0.3,0.7,0.7,5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
21,42a910eba064,2026-04-15 14:41:22,True,1.0,0.0,1.0,4.4960596561431885,0.1955562114715576,75,4,0.22,0.9,0.9,1,0.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
22,48c53acc46c5,2026-04-15 14:42:30,True,1.0,0.0,1.0,11.572852945327758,0.42069215774536134,250,6,0.12,0.7,0.7,3,0.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
23,4b54781bee6a,2026-04-15 14:43:41,True,1.0,0.0,1.0,12.263359308242798,0.3190015316009521,175,8,0.02,0.7,0.9,11,0.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
24,aa8a31329044,2026-04-15 14:44:33,True,1.0,0.0,1.0,8.914525365829467,0.20284438133239746,125,14,0.1,0.9,0.7,9,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
25,d45366523b27,2026-04-15 14:45:17,True,1.0,0.0,1.0,7.44893741607666,0.253938627243042,300,5,0.05,0.9,0.9,11,0.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
26,4fe6be9eaf85,2026-04-15 14:45:30,True,1.0,0.0,1.0,1.6587831020355224,0.12868013381958007,25,8,0.11,0.9,0.7,7,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.965068306494546e-17
27,7232ca2eaad1,2026-04-15 14:45:46,True,1.0,0.0,1.0,2.4449906826019285,0.13524856567382812,75,7,0.17,0.7,0.9,5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.965068306494546e-17
28,0dfa71cbdd32,2026-04-15 14:46:23,True,1.0,0.0,1.0,6.0969398498535154,0.23526973724365235,175,4,0.01,0.7,0.7,3,0.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
29,24eadea17d20,2026-04-15 14:47:19,True,1.0,0.0,1.0,10.011420249938965,0.21368231773376464,200,15,0.28,0.9,0.9,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
30,cb9f146b7771,2026-04-15 14:47:47,True,1.0,0.0,1.0,4.810801649093628,0.1600480079650879,50,14,0.04,0.9,0.9,3,0.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
31,98a8b593322d,2026-04-15 14:48:13,True,1.0,0.0,1.0,4.298214435577393,0.17010846138000488,100,5,0.04,0.7,0.7,9,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
32,90f916bd0294,2026-04-15 14:48:54,True,1.0,0.0,1.0,7.025559520721435,0.20187158584594728,250,12,0.06,0.7,0.9,7,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
33,e70a247a7c65,2026-04-15 14:49:28,True,1.0,0.0,1.0,5.875634956359863,0.20164923667907714,150,13,0.25,0.7,0.7,1,0.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
34,fd216d60fb8e,2026-04-15 14:49:57,True,1.0,0.0,1.0,4.592174482345581,0.1919698715209961,225,11,0.26,0.9,0.7,11,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
35,1aa552c0710e,2026-04-15 14:51:34,True,1.0,0.0,1.0,17.16260437965393,0.40096464157104494,275,10,0.01,0.9,0.7,5,0.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.965068306494546e-17
36,f6b1e2aaa31f,2026-04-15 14:52:02,True,1.0,0.0,1.0,4.710891199111939,0.16637835502624512,250,3,0.08,0.9,0.9,9,0.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
37,cea9c2577a80,2026-04-15 14:52:29,True,1.0,0.0,1.0,4.369860029220581,0.16026091575622559,225,9,0.16,0.7,0.9,3,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
38,5b89ce39e671,2026-04-15 14:52:55,True,1.0,0.0,1.0,4.238487291336059,0.16082286834716797,200,6,0.1,0.7,0.9,7,0.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
39,47c4ccde29de,2026-04-15 14:53:13,True,1.0,0.0,1.0,2.7245357036590576,0.13181076049804688,75,15,0.29,0.7,0.7,11,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
40,e777b16b61cd,2026-04-15 14:53:34,True,1.0,0.0,1.0,3.390631341934204,0.14690799713134767,175,3,0.15,0.9,0.7,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
41,63d8f5926a5b,2026-04-15 14:53:55,True,1.0,0.0,1.0,3.455961799621582,0.16872577667236327,150,11,0.12,0.9,0.9,5,0.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
42,519e6726bcd6,2026-04-15 14:54:14,True,1.0,0.0,1.0,2.9004476070404053,0.13867077827453614,25,12,0.2,0.9,0.7,1,0.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
43,40c431a29877,2026-04-15 14:54:47,True,1.0,0.0,1.0,5.5751307010650635,0.19538373947143556,275,8,0.24,0.7,0.9,9,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
44,cb2905bfbb8a,2026-04-15 14:55:13,True,1.0,0.0,1.0,4.0250097751617435,0.17416024208068848,125,6,0.02,0.9,0.7,3,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
45,905745d71e6d,2026-04-15 14:55:30,True,1.0,0.0,1.0,2.7866479396820067,0.13815197944641114,100,10,0.17,0.7,0.9,11,0.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
46,d1dd34bfaa0b,2026-04-15 14:55:42,True,1.0,0.0,1.0,1.608861494064331,0.13684968948364257,50,7,0.21,0.9,0.9,7,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
47,4d3a0474d340,2026-04-15 14:56:11,True,1.0,0.0,1.0,4.781260633468628,0.16667466163635253,175,14,0.22,0.7,0.7,5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
48,dfc532382bb5,2026-04-15 14:56:58,True,1.0,0.0,1.0,8.158988952636719,0.2142888069152832,300,9,0.13,0.9,0.7,9,0.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
49,378540e49bfb,2026-04-15 14:57:53,True,1.0,0.0,1.0,9.650083637237548,0.22143793106079102,275,5,0.11,0.7,0.9,3,0.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
50,394787832e6c,2026-04-15 14:58:36,True,1.0,0.0,1.0,7.268121957778931,0.22927379608154297,225,13,0.27,0.7,0.7,7,0.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
51,ed48c07c50e8,2026-04-15 14:59:32,True,1.0,0.0,1.0,9.78820013999939,0.2602889060974121,300,4,0.18,0.9,0.9,5,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
52,b015417742a1,2026-04-15 15:00:17,True,1.0,0.0,1.0,7.93719801902771,0.20255231857299805,125,8,0.03,0.7,0.9,1,0.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
53,8a43d4b3b05b,2026-04-15 15:01:04,True,1.0,0.0,1.0,7.96447434425354,0.23288540840148925,250,13,0.19,0.9,0.9,11,0.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
54,125581b7933c,2026-04-15 15:01:33,True,1.0,0.0,1.0,4.752033758163452,0.16764364242553711,100,3,0.14,0.7,0.7,5,0.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
55,888f1244a64a,2026-04-15 15:02:07,True,1.0,0.0,1.0,5.780754137039184,0.18992347717285157,200,7,0.23,0.9,0.7,11,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
56,cc5e44293ee7,2026-04-15 15:02:41,True,1.0,0.0,1.0,5.66644172668457,0.19618430137634277,150,4,0.28,0.9,0.7,7,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
57,02e4e19ae32a,2026-04-15 15:02:57,True,1.0,0.0,1.0,2.204764986038208,0.12455263137817382,25,11,0.3,0.9,0.9,3,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.965068306494546e-17
