job_id,config_hash,timestamp,success,mean_score,std_score,mean_train_score,fit_time_mean,score_time_mean,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,f1_macro_mean,f1_macro_std,f1_micro_mean,f1_micro_std,f1_weighted_mean,f1_weighted_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,roc_auc_ovr_mean,roc_auc_ovr_std
0,fefbec9ff43c,2026-04-15 13:14:09,True,1.0,0.0,1.0,8.04981050491333,0.35106592178344725,275,4,0.01,0.9,0.7,3,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
1,eeae8d80ea43,2026-04-15 13:14:47,True,1.0,0.0,1.0,6.58044171333313,0.22329516410827638,300,4,0.22,0.7,0.9,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.965068306494546e-17
2,2a10805a6b9c,2026-04-15 13:15:04,True,1.0,0.0,1.0,2.783791255950928,0.1587225914001465,50,6,0.08,0.7,0.7,11,0.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3,bffa9b84e089,2026-04-15 13:15:30,True,1.0,0.0,1.0,4.132091999053955,0.2437570571899414,100,10,0.19,0.9,0.7,3,0.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
4,74e297d24965,2026-04-15 13:16:02,True,1.0,0.0,1.0,5.538303470611572,0.22717885971069335,150,7,0.05,0.7,0.9,1,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,4.965068306494546e-17
5,c404d8c2a3e0,2026-04-15 13:16:29,True,1.0,0.0,1.0,4.602855062484741,0.16094050407409669,175,4,0.12,0.9,0.9,1,0.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
6,48b383bdb5a1,2026-04-15 13:17:23,True,1.0,0.0,1.0,9.43027377128601,0.3109912395477295,225,4,0.3,0.9,0.7,9,0.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
7,043d09ea695c,2026-04-15 13:18:42,True,1.0,0.0,1.0,14.158561277389527,0.36847338676452634,275,12,0.29,0.9,0.7,11,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
8,a81c3a33d51b,2026-04-15 13:19:21,True,1.0,0.0,1.0,6.7337452411651615,0.27686004638671874,25,13,0.08,0.9,0.7,3,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
9,4c69060ee336,2026-04-15 13:19:54,True,1.0,0.0,1.0,5.559742212295532,0.23217372894287108,175,7,0.15,0.9,0.7,5,0.1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
