job_id,config_hash,timestamp,success,mean_score,std_score,mean_train_score,fit_time_mean,score_time_mean,n_estimators,max_depth,learning_rate,subsample,neg_mean_squared_error_mean,neg_mean_squared_error_std,neg_mean_absolute_error_mean,neg_mean_absolute_error_std,neg_root_mean_squared_error_mean,neg_root_mean_squared_error_std
0,5aa046fb0e25,2026-04-14 19:03:58,True,0.8340134090321966,0.004746116785369527,0.9489528399464302,14.906091976165772,0.022532272338867187,250,5,0.24,0.8,-0.22096346576378526,0.006960071300811933,-0.3113436924363872,0.005086345301052528,-0.47000880363274866,0.00742901551334583
1,87ed2826527c,2026-04-14 19:04:26,True,0.8222306054244785,0.007725237320029504,0.8704915248793993,5.699820852279663,0.013420963287353515,150,4,0.14,0.65,-0.236612133145506,0.009933687500422889,-0.32847331468351626,0.005957519151614907,-0.48631940718665145,0.01027459678672657
2,c7a6baed6c5b,2026-04-14 19:04:57,True,0.6892173845707283,0.008095594454886506,0.78892133169262,6.064893341064453,0.017960214614868165,50,11,0.02,0.85,-0.4137203446965764,0.012198353137911035,-0.48466882075689216,0.005140081728241382,-0.6431407103838916,0.009506384353663008
3,224ddfd75579,2026-04-14 19:05:50,True,0.8243358285442742,0.010674941398571431,0.8951371730954794,10.591449451446532,0.015679311752319337,300,3,0.3,0.8,-0.2337505271346359,0.0128657534640394,-0.3233629834503297,0.007051118380489632,-0.48329103482619307,0.013427687487551715
4,87e351bbefb1,2026-04-14 19:06:24,True,0.6335049586757096,0.011312301244742851,0.641699923032133,6.679874038696289,0.01761155128479004,200,3,0.01,0.75,-0.48785491106530754,0.015489763448543548,-0.5248600257275452,0.007090456228047408,-0.6983778498224067,0.01110360044037667
5,0a9e1a98d694,2026-04-14 19:06:45,True,0.8094697431460112,0.00863147426023671,0.85309967595736,4.179864358901978,0.01282200813293457,125,3,0.3,0.6,-0.2536554403547103,0.012403005002613075,-0.34275018693449055,0.007991400703884854,-0.5034890180517786,0.012419704342942052
6,1a6013e35d30,2026-04-14 19:08:26,True,0.8200289150829321,0.008557467858432729,0.9881163709288897,19.865296030044554,0.0425682544708252,50,11,0.12,1.0,-0.23947162135719885,0.00932021337640832,-0.3149682612372367,0.005631696187885988,-0.4892635027276474,0.00963567620212937
7,c6615fbcfa92,2026-04-14 19:10:48,True,0.8025940959440986,0.005857618012985102,0.9999910350204271,28.05294542312622,0.08695707321166993,150,14,0.21,0.7,-0.26276329787846825,0.007648110217379863,-0.3330985165602457,0.006449343831640309,-0.5125497724873271,0.007485225558219823
8,05afb9dd00ce,2026-04-14 19:11:04,True,0.8012611168674095,0.005694669049805484,0.9954155945883725,3.1387781143188476,0.012867450714111328,25,15,0.17,0.7,-0.26449509642460656,0.005721401230801872,-0.33431892779567196,0.0032699269150345874,-0.514260311248038,0.005606130544123386
9,5ca10f6b0afa,2026-04-14 19:11:13,True,0.7426400363515706,0.010308319480193912,0.7760360012670292,1.732682752609253,0.00590968132019043,25,6,0.08,0.85,-0.34258512486285053,0.014063527977312681,-0.42336773142952244,0.007196862851139478,-0.5851826728060774,0.012098111852104928
10,15c8d23ea837,2026-04-14 19:13:35,True,0.8256661077254032,0.00497672211322299,0.9532540680115481,28.128699779510498,0.046611881256103514,250,5,0.27,0.8,-0.2320183012982195,0.0051482115343884855,-0.3175554313580873,0.005427380459360889,-0.4816527877826228,0.005375250640405135
11,549ba52af8fe,2026-04-14 19:14:10,True,0.8097323504332383,0.0078101507044443,0.8446231851990396,6.589088249206543,0.014220380783081054,50,4,0.24,0.8,-0.25330920395878204,0.011487220111827663,-0.34485178574706615,0.00812377413588267,-0.5031694034359928,0.011391022985190508
12,836bce99170c,2026-04-14 19:14:53,True,0.8296248074821155,0.008489711378124543,0.9232668096828229,8.259276580810546,0.015610885620117188,75,6,0.24,0.8,-0.22670198138489156,0.009439493613900908,-0.3170292211082517,0.005972237439949093,-0.4760267780705794,0.010024367542886409
13,c09e265b2858,2026-04-14 19:15:47,True,0.8191833040105003,0.005787278113741498,0.9482340033023613,10.65972466468811,0.030197906494140624,300,5,0.24,0.5,-0.24065663064151366,0.006804973694504565,-0.32515021807780614,0.006158539190768334,-0.49051901839741,0.006908200341256737
14,1a49a1061fa8,2026-04-14 19:18:32,True,0.8131795170662478,0.007215726614195234,0.9999619824101954,32.61107587814331,0.06583476066589355,250,11,0.24,0.9,-0.2486428303354707,0.008695069610621055,-0.323022269096657,0.0045881563951185485,-0.49856393208398764,0.008765612381554435
15,42b01ca4f30a,2026-04-14 19:21:01,True,0.814573662606441,0.007539748703573887,0.9993757448462055,29.13986954689026,0.10544762611389161,75,14,0.12,0.8,-0.24681175285957999,0.009837888854984302,-0.3196379454384942,0.005531669861962408,-0.4967013140216291,0.009977850909235725
16,b26c00487ff4,2026-04-14 19:25:16,True,0.8394446358307931,0.006101895509817951,0.9322668216268897,50.25974702835083,0.0845426082611084,275,5,0.14,0.8,-0.21365316679720014,0.006253290076802694,-0.30498396964312047,0.00408654279489783,-0.46217600184880847,0.006819832274355716
