job_id,config_hash,timestamp,success,mean_score,std_score,mean_train_score,fit_time_mean,score_time_mean,n_neighbors,weights,metric,p,leaf_size,algorithm,f1_macro_mean,f1_macro_std,f1_micro_mean,f1_micro_std,f1_weighted_mean,f1_weighted_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,roc_auc_ovr_mean,roc_auc_ovr_std
0,5f83fc6c9fe0,2026-04-15 16:02:47,True,0.7020634920634921,0.04354127675616631,0.7092583472865164,0.0012161731719970703,0.9586751937866211,71,uniform,minkowski,2,30,auto,0.6790094554951415,0.04722456025321779,0.7020634920634921,0.04354127675616631,0.6964546189629399,0.04195103109593082,0.6890917633564693,0.044129177169663816,0.6802356902356902,0.04822075378917534,0.8893864349073978,0.032728921582696816
1,8b1886938d4f,2026-04-15 16:02:48,True,0.7074603174603175,0.06431529791566978,0.7303063134049049,0.003145647048950195,0.020205307006835937,41,uniform,euclidean,2,10,kd_tree,0.6979036800640117,0.07033462478990402,0.7074603174603175,0.06431529791566978,0.7085343841932439,0.06469701455110047,0.7052994227994229,0.07420715342251433,0.6989129389129389,0.06746787740398995,0.8813038715080641,0.03733397692072824
2,e929c6b7696a,2026-04-15 16:02:48,True,0.6798412698412698,0.045268995294751375,0.6966413867822319,0.0012091636657714845,0.030269432067871093,84,uniform,minkowski,2,40,auto,0.6308713013588848,0.07048758131781015,0.6798412698412698,0.045268995294751375,0.6563185685246846,0.06399080241733904,0.6385699096225411,0.0855264799880449,0.6454737854737855,0.05288720788894155,0.8800279675178743,0.04019966949963696
3,f968964a003d,2026-04-15 16:02:48,True,0.7693650793650794,0.07639456791918242,1.0,0.0012065887451171875,0.018392515182495118,3,distance,manhattan,1,50,auto,0.7612327820835487,0.07819766287624376,0.7693650793650794,0.07639456791918242,0.7662178584364054,0.07815003232441221,0.7747347097347097,0.07125639935523842,0.7642568542568543,0.07663024619801106,0.8916444330916381,0.03962761928208911
4,e4bc9c03018e,2026-04-15 16:02:48,True,0.7757142857142858,0.07131490073447101,1.0,0.0020145893096923826,0.037409067153930664,9,distance,manhattan,3,30,brute,0.7683642347990174,0.074417804360391,0.7757142857142858,0.07131490073447101,0.773363084580476,0.073315450225363,0.7792106042106042,0.06595452044407331,0.7755796055796055,0.07378184831989804,0.9141206689560727,0.025226173068316465
5,cf2917d5f920,2026-04-15 16:02:49,True,0.6855555555555556,0.06815127009839352,0.7148724514921698,0.0010979175567626953,0.02554631233215332,61,uniform,euclidean,3,30,ball_tree,0.670194361919852,0.06602006890003248,0.6855555555555556,0.06815127009839352,0.6850705247306556,0.06545497850020017,0.6761484811484811,0.0682329274484443,0.6689129389129389,0.06671061999414928,0.8897955845626655,0.033561825974766764
6,09f291e319a2,2026-04-15 16:02:49,True,0.64,0.03708515392950808,0.8736038609278045,0.0007540702819824219,0.03266510963439941,2,uniform,euclidean,3,40,brute,0.5730198638824164,0.05893860940812394,0.64,0.03708515392950808,0.6010487906203194,0.04669146952925759,0.5967158984806044,0.08347503825652877,0.6035690235690236,0.048273323299093,0.8128587705715035,0.044175252772311435
7,5f2e7c2e0095,2026-04-15 16:02:49,True,0.7136507936507936,0.01824637523237659,0.7359499655274303,0.0025652408599853515,0.015049219131469727,16,uniform,euclidean,3,30,auto,0.7022377619264015,0.021004782183666918,0.7136507936507936,0.01824637523237659,0.71126473719962,0.020688128260866502,0.7102723420370479,0.023066236882802144,0.7106349206349207,0.02370665608975513,0.868677279529764,0.02027210454957641
8,60c290e6ca04,2026-04-15 16:02:50,True,0.7019047619047619,0.08474852756933345,0.719068255687974,0.0021011829376220703,0.027414798736572266,51,uniform,minkowski,2,20,brute,0.6909736957063201,0.09449213095523253,0.7019047619047619,0.08474852756933345,0.70225020073463,0.0878821916596159,0.6946817071817073,0.0961924270096854,0.6941510341510342,0.093808661220734,0.8848656959270313,0.037043584866714586
9,3c9a9044738a,2026-04-15 16:02:50,True,0.707936507936508,0.020937945965512583,0.7289471092287994,0.001558828353881836,0.018773889541625975,65,uniform,manhattan,2,50,brute,0.6844779895839243,0.027118870997996716,0.707936507936508,0.020937945965512583,0.7006063917543339,0.02715239344720348,0.6912864695217638,0.03240450346382351,0.6876430976430977,0.02175756854799049,0.8997275270163468,0.03272409971548591
10,97bd5317d3fb,2026-04-15 16:02:51,True,0.7757142857142858,0.07131490073447101,1.0,0.0008049488067626953,0.024384450912475587,9,distance,manhattan,1,50,ball_tree,0.7683642347990174,0.074417804360391,0.7757142857142858,0.07131490073447101,0.773363084580476,0.073315450225363,0.7792106042106042,0.06595452044407331,0.7755796055796055,0.07378184831989804,0.9141206689560727,0.025226173068316465
11,7fcff46d3d0f,2026-04-15 16:02:51,True,0.775079365079365,0.06246107379385164,1.0,0.00040793418884277344,0.018083715438842775,2,distance,manhattan,1,40,kd_tree,0.7695396725435074,0.06496814460359468,0.775079365079365,0.06246107379385164,0.775255371702047,0.06446878932860518,0.7795896913543972,0.05761628413140252,0.7716642616642616,0.07035549230422625,0.8617227104043874,0.051262473656151185
12,d7050b9c39d2,2026-04-15 16:02:52,True,0.7757142857142858,0.07131490073447101,1.0,0.0008639335632324219,0.016019916534423827,9,distance,manhattan,3,10,auto,0.7683642347990174,0.074417804360391,0.7757142857142858,0.07131490073447101,0.773363084580476,0.073315450225363,0.7792106042106042,0.06595452044407331,0.7755796055796055,0.07378184831989804,0.9141206689560727,0.025226173068316465
13,f24a87fc0f02,2026-04-15 16:02:53,True,0.7473015873015874,0.07413497118861523,1.0,0.0015633583068847656,0.026340627670288087,61,distance,manhattan,3,10,ball_tree,0.7459958870973363,0.07492748860251387,0.7473015873015874,0.07413497118861523,0.7523875808265041,0.07306691238212894,0.7534765234765235,0.07309747675451234,0.7481721981721983,0.07552738262335287,0.9198126943794644,0.022293659038391738
14,8d1ee3a7ddc6,2026-04-15 16:02:54,True,0.7473015873015874,0.07413497118861523,1.0,0.0016092777252197266,0.019898319244384767,62,distance,manhattan,3,50,ball_tree,0.7459958870973363,0.07492748860251387,0.7473015873015874,0.07413497118861523,0.7523875808265041,0.07306691238212894,0.7534765234765235,0.07309747675451234,0.7481721981721983,0.07552738262335287,0.9203140448808151,0.022569960344225995
15,c177ae27dbf3,2026-04-15 16:02:55,True,0.7757142857142858,0.07131490073447101,1.0,0.0012065887451171875,0.02107691764831543,9,distance,manhattan,2,50,auto,0.7683642347990174,0.074417804360391,0.7757142857142858,0.07131490073447101,0.773363084580476,0.073315450225363,0.7792106042106042,0.06595452044407331,0.7755796055796055,0.07378184831989804,0.9141206689560727,0.025226173068316465
16,accc9fd84702,2026-04-15 16:02:56,True,0.7473015873015874,0.07413497118861523,1.0,0.0030183315277099608,0.03632044792175293,71,distance,manhattan,1,20,auto,0.7445466943148102,0.07331030724940549,0.7473015873015874,0.07413497118861523,0.7513293345460357,0.07192946759779754,0.7611322011322011,0.08222612002084413,0.7451563251563252,0.07226555228484365,0.9207433783722603,0.02130835146578706
17,a7d1c1c81770,2026-04-15 16:02:57,True,0.7080952380952381,0.050215960920473715,1.0,0.0011568069458007812,0.02080879211425781,9,distance,euclidean,3,50,auto,0.6911204857111903,0.07351529502562267,0.7080952380952381,0.050215960920473715,0.6995981501740764,0.06730028530749653,0.6998089240194504,0.06983365767260544,0.7045214045214044,0.05980959472324368,0.891145384291347,0.0237371067137299
18,15020aa7c3bd,2026-04-15 16:02:58,True,0.7809523809523811,0.061647818410218116,1.0,0.002014827728271484,0.014746522903442383,5,distance,manhattan,3,50,ball_tree,0.7696718136935529,0.06838516940556809,0.7809523809523811,0.061647818410218116,0.7756490062540786,0.06672407225160668,0.7873578273578273,0.05100437805022195,0.7749975949975949,0.06414535851264322,0.9119136271768259,0.03875097682936522
19,b18b078b207f,2026-04-15 16:03:00,True,0.7476190476190477,0.07559456109349816,0.8581010538757017,0.00353856086730957,0.02179999351501465,5,uniform,manhattan,3,30,ball_tree,0.7244984370559819,0.08443279434211076,0.7476190476190477,0.07559456109349816,0.735696745141758,0.08185879775141755,0.7439933166248957,0.0704129867903936,0.7337566137566138,0.07803140449065163,0.9012760689103857,0.03710767693706781
20,184bef93b6e8,2026-04-15 16:03:01,True,0.7471428571428571,0.0787589553071159,1.0,0.0012084484100341798,0.026695919036865235,76,distance,manhattan,3,50,ball_tree,0.7428466122275533,0.07868206014494776,0.7471428571428571,0.0787589553071159,0.7505538172474291,0.07646413704566282,0.7592440892440893,0.08670899647844058,0.7425108225108226,0.07790736831095378,0.9207285140095699,0.02203157001096461
21,30161e3dc197,2026-04-15 16:03:03,True,0.746984126984127,0.0731355127485526,0.9087067861715749,0.003102684020996094,0.029934120178222657,3,uniform,manhattan,3,40,kd_tree,0.7353959241777253,0.07966457900769734,0.746984126984127,0.0731355127485526,0.7409869225060335,0.07699389543268259,0.7482967032967033,0.07380066498753557,0.7417171717171718,0.07598230119829238,0.8813068857183766,0.03762747236449926
22,eacd2d38c445,2026-04-15 16:03:05,True,0.7417460317460318,0.0682901343827836,1.0,0.0010979652404785156,0.02274794578552246,67,distance,manhattan,3,50,ball_tree,0.7387337229724271,0.06768803955631852,0.7417460317460318,0.0682901343827836,0.7460065592820839,0.06693402991448301,0.7508757908757909,0.0704858923530693,0.7396007696007696,0.06726628026423782,0.9201659927948749,0.02227300045473808
23,65cb29e1f29f,2026-04-15 16:03:06,True,0.753015873015873,0.05573757031636727,1.0,0.0007529735565185546,0.018269872665405272,13,distance,manhattan,3,50,ball_tree,0.7433636848221135,0.055671063722383354,0.753015873015873,0.05573757031636727,0.7495990862234005,0.0561942586737932,0.750917785917786,0.04478098360462151,0.7501587301587301,0.053570899468286616,0.9158080266294553,0.012283711119194287
24,038044bfaba5,2026-04-15 16:03:08,True,0.7357142857142858,0.07855138432799125,1.0,0.0008072376251220704,0.01870760917663574,79,distance,manhattan,3,50,ball_tree,0.7303499985815144,0.07729517093939745,0.7357142857142858,0.07855138432799125,0.7391620672349893,0.07540210718448805,0.7457131757131757,0.08603656536329977,0.7276960076960077,0.07551820999567573,0.9193304949593768,0.022171769701249195
25,a443c4bb0f54,2026-04-15 16:03:10,True,0.7473015873015874,0.05501688968551092,1.0,0.0016093254089355469,0.026464414596557618,4,distance,manhattan,3,50,ball_tree,0.7420197891212384,0.056686256840775474,0.7473015873015874,0.05501688968551092,0.7466771714597802,0.05626296088988857,0.7557115107115107,0.053271126920881706,0.7443626743626744,0.05870620151686148,0.9072046886286017,0.036460986414295224
26,58a4aca27ae0,2026-04-15 16:03:13,True,0.7304761904761905,0.0508843436364435,1.0,0.0011548995971679688,0.018997001647949218,29,distance,manhattan,3,50,ball_tree,0.7238747861976093,0.05113397729361097,0.7304761904761905,0.0508843436364435,0.7315879760020217,0.04985388740276301,0.7333522033522033,0.04998070637048981,0.729018759018759,0.0529739995749618,0.9166234197134818,0.01174048147644428
27,6dd78b810a96,2026-04-15 16:03:14,True,0.7304761904761905,0.0508843436364435,1.0,0.0004965782165527344,0.021548128128051756,29,distance,minkowski,1,10,ball_tree,0.7238747861976093,0.05113397729361097,0.7304761904761905,0.0508843436364435,0.7315879760020217,0.04985388740276301,0.7333522033522033,0.04998070637048981,0.729018759018759,0.0529739995749618,0.9166234197134818,0.01174048147644428
28,a470db2f1b5c,2026-04-15 16:03:16,True,0.741904761904762,0.03882047756607396,0.813158672313602,0.0008074283599853515,0.01618952751159668,9,uniform,manhattan,1,20,brute,0.7273193507152638,0.04628350492103017,0.741904761904762,0.03882047756607396,0.7350678545116297,0.04522263364944017,0.7329469550057784,0.04072813746583747,0.7346560846560847,0.04284080948147544,0.896205342161864,0.014454620265588157
