job_id,config_hash,timestamp,success,mean_score,std_score,mean_train_score,fit_time_mean,score_time_mean,kg_co2,energy_kwh,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,f1_macro_mean,f1_macro_std,f1_micro_mean,f1_micro_std,f1_weighted_mean,f1_weighted_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,roc_auc_ovr_mean,roc_auc_ovr_std,folds_completed,error_message
0,62b50d879bba,2026-07-31 12:52:37,True,0.7539999999999999,0.012409673645990868,1.0,0.24849443435668944,0.06342015266418458,5.222906174991924e-07,8.069711212528847e-06,300,3,0.26,1.0,1.0,1,0,0.688246365668742,0.015800251420096098,0.7539999999999999,0.012409673645990868,0.7454161215194475,0.012241196418047459,0.706840065806427,0.017659459662710555,0.6795238095238096,0.01662239016734003,0.7903095238095238,0.025493385385481838,5,
1,eb34d3a5300d,2026-07-31 12:52:42,True,0.7940000000000002,0.021771541057077223,0.9035,0.03896799087524414,0.06244959831237793,1.533943724678551e-07,2.370037381428914e-06,25,5,0.25,1.0,1.0,1,0,0.7056068283711648,0.03898923844516819,0.7940000000000002,0.021771541057077223,0.7700260995836945,0.028059528257227344,0.8017937505510963,0.04289606983974767,0.6861904761904762,0.03527186284264022,0.7991904761904761,0.024993241716897693,5,
2,ef9a5303a3d2,2026-07-31 12:52:48,True,0.769,0.018275666882497082,1.0,0.14125027656555175,0.050798797607421876,2.9128954198086165e-07,4.500602546280637e-06,75,15,0.2,1.0,1.0,1,0,0.6997058398042517,0.023547563648405535,0.769,0.018275666882497082,0.7573078111517257,0.018610245625206533,0.7307383444646809,0.02801785936478047,0.6873809523809523,0.023140603456795823,0.7994285714285714,0.02196477286851683,5,
3,f98b1840a062,2026-07-31 12:52:53,True,0.8100000000000002,0.024083189157584565,0.8099999999999999,0.020174264907836914,0.0416226863861084,9.776036721937047e-08,1.5104577893213087e-06,25,4,0.03,1.0,1.0,1,0,0.7061750735401464,0.04882752473288025,0.8100000000000002,0.024083189157584565,0.7759877201783404,0.034665492077833135,0.8935504960528251,0.01079656058201379,0.6833333333333332,0.040138648595974345,0.8056785714285715,0.023210396499606246,5,
4,d2520c6233f3,2026-07-31 12:52:58,False,,,,,,,,175,12,0.17,1.0,1.0,1,0,,,,,,,,,,,,,0,pruned by HyperbandPruner
5,d29bf8c89898,2026-07-31 12:53:04,True,0.78,0.021213203435596444,0.99975,0.16485595703125,0.05470890998840332,3.484809130308835e-07,5.384244397692935e-06,150,8,0.06,1.0,1.0,1,0,0.7027045741350373,0.03052310514125027,0.78,0.021213203435596444,0.7632517166577832,0.023330858232999643,0.755754401712686,0.03921006211961093,0.6866666666666668,0.029037859406498348,0.8027857142857142,0.027728293792514378,5,
6,03cdf409863a,2026-07-31 12:53:10,False,,,,,,,,175,12,0.12,1.0,1.0,1,0,,,,,,,,,,,,,0,pruned by HyperbandPruner
7,581290120fc2,2026-07-31 12:53:15,False,,,,,,,,150,14,0.03,1.0,1.0,1,0,,,,,,,,,,,,,0,pruned by HyperbandPruner
8,e0990bbc7fc0,2026-07-31 12:53:20,False,,,,,,,,50,15,0.11,1.0,1.0,1,0,,,,,,,,,,,,,0,pruned by HyperbandPruner
9,68596d826adf,2026-07-31 12:53:25,False,,,,,,,,125,14,0.12,1.0,1.0,1,0,,,,,,,,,,,,,0,pruned by HyperbandPruner
10,407a496cdf79,2026-07-31 12:53:30,False,,,,,,,,25,4,0.27,1.0,1.0,1,0,,,,,,,,,,,,,0,pruned by HyperbandPruner
11,eb34d3a5300d,2026-07-31 12:53:35,True,0.7940000000000002,0.021771541057077223,0.9035,0.019748449325561523,0.05134286880493164,1.2071580604737677e-07,1.8651334352018683e-06,25,5,0.25,1.0,1.0,1,0,0.7056068283711648,0.03898923844516819,0.7940000000000002,0.021771541057077223,0.7700260995836945,0.028059528257227344,0.8017937505510963,0.04289606983974767,0.6861904761904762,0.03527186284264022,0.7991904761904761,0.024993241716897693,5,
12,9bb9f1ff3fed,2026-07-31 12:53:40,False,,,,,,,,25,11,0.03,1.0,1.0,1,0,,,,,,,,,,,,,0,pruned by HyperbandPruner
13,81b1326b1100,2026-07-31 12:53:46,False,,,,,,,,200,10,0.19,1.0,1.0,1,0,,,,,,,,,,,,,0,pruned by HyperbandPruner
