job_id,config_hash,timestamp,success,mean_score,std_score,mean_train_score,fit_time_mean,score_time_mean,kg_co2,energy_kwh,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,f1_macro_mean,f1_macro_std,f1_micro_mean,f1_micro_std,f1_weighted_mean,f1_weighted_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,roc_auc_ovr_mean,roc_auc_ovr_std
0,62b50d879bba,2026-07-31 12:52:37,True,0.7539999999999999,0.012409673645990868,1.0,0.2516453266143799,0.0186065673828125,5.124379390382869e-07,7.917481271600349e-06,300,3,0.26,1.0,1.0,1,0,0.688246365668742,0.015800251420096098,0.7539999999999999,0.012409673645990868,0.7454161215194475,0.012241196418047459,0.706840065806427,0.017659459662710555,0.6795238095238096,0.01662239016734003,0.7903095238095238,0.025493385385481838
1,eb34d3a5300d,2026-07-31 12:52:42,True,0.7940000000000002,0.021771541057077223,0.9035,0.033984136581420896,0.017567014694213866,1.21519446676831e-07,1.8775501771096635e-06,25,5,0.25,1.0,1.0,1,0,0.7056068283711648,0.03898923844516819,0.7940000000000002,0.021771541057077223,0.7700260995836945,0.028059528257227344,0.8017937505510963,0.04289606983974767,0.6861904761904762,0.03527186284264022,0.7991904761904761,0.024993241716897693
2,ef9a5303a3d2,2026-07-31 12:52:48,True,0.769,0.018275666882497082,1.0,0.14671649932861328,0.016024351119995117,2.502480613923551e-07,3.8664864335507954e-06,75,15,0.2,1.0,1.0,1,0,0.6997058398042517,0.023547563648405535,0.769,0.018275666882497082,0.7573078111517257,0.018610245625206533,0.7307383444646809,0.02801785936478047,0.6873809523809523,0.023140603456795823,0.7994285714285714,0.02196477286851683
3,f98b1840a062,2026-07-31 12:52:53,True,0.8100000000000002,0.024083189157584565,0.8099999999999999,0.020124530792236327,0.015231132507324219,7.828712617049104e-08,1.2095842404361187e-06,25,4,0.03,1.0,1.0,1,0,0.7061750735401464,0.04882752473288025,0.8100000000000002,0.024083189157584565,0.7759877201783404,0.034665492077833135,0.8935504960528251,0.01079656058201379,0.6833333333333332,0.040138648595974345,0.8056785714285715,0.023210396499606246
4,d2520c6233f3,2026-07-31 12:52:59,True,0.767,0.014696938456699083,1.0,0.20614752769470215,0.016871118545532228,4.1075545782212196e-07,6.3464244092030286e-06,175,12,0.17,1.0,1.0,1,0,0.6994839890653429,0.019781866359248057,0.767,0.014696938456699083,0.7564024996600607,0.015417542344433936,0.7258678553038934,0.022157486131709397,0.6878571428571428,0.01995459699024472,0.8004285714285715,0.02211603598340005
5,d29bf8c89898,2026-07-31 12:53:05,True,0.78,0.021213203435596444,0.99975,0.18240776062011718,0.018250226974487305,3.969126767193717e-07,6.1325449288242356e-06,150,8,0.06,1.0,1.0,1,0,0.7027045741350373,0.03052310514125027,0.78,0.021213203435596444,0.7632517166577832,0.023330858232999643,0.755754401712686,0.03921006211961093,0.6866666666666668,0.029037859406498348,0.8027857142857142,0.027728293792514378
6,03cdf409863a,2026-07-31 12:53:11,True,0.7699999999999999,0.02345207879911717,1.0,0.23078012466430664,0.019475889205932618,4.6028791574015487e-07,7.111731343030691e-06,175,12,0.12,1.0,1.0,1,0,0.6992990800834151,0.03121968941913766,0.7699999999999999,0.02345207879911717,0.7575785880375803,0.024831815292839808,0.7315118655497067,0.033242614171119324,0.6861904761904762,0.02970566114152107,0.8025476190476191,0.02470788521579162
7,581290120fc2,2026-07-31 12:53:17,True,0.781,0.024166091947189133,0.99975,0.21338205337524413,0.0163851261138916,4.5494407423481556e-07,7.029165705684774e-06,150,14,0.03,1.0,1.0,1,0,0.7004927826800947,0.03403218492666434,0.781,0.024166091947189133,0.762523779064431,0.026368444992584773,0.7605618164680739,0.0420482532822947,0.6835714285714285,0.03051337017828725,0.8072380952380952,0.026688808834543408
8,e0990bbc7fc0,2026-07-31 12:53:22,True,0.7859999999999999,0.024372115213907874,1.0,0.07392568588256836,0.016370582580566406,2.011845136719954e-07,3.108424450624129e-06,50,15,0.11,1.0,1.0,1,0,0.7079872526041823,0.038952103981549295,0.7859999999999999,0.024372115213907874,0.7682823356746156,0.029075410320295238,0.7655842433976805,0.03828722666661996,0.690952380952381,0.0360350673247256,0.8064761904761906,0.024334987363410034
9,68596d826adf,2026-07-31 12:53:27,True,0.774,0.01743559577416271,1.0,0.1363469123840332,0.01581540107727051,3.0921096116369133e-07,4.777499493073547e-06,125,14,0.12,1.0,1.0,1,0,0.7017147372765284,0.028798931196524533,0.774,0.01743559577416271,0.7603844084936499,0.021173921889142543,0.7381129518805054,0.0226828135721504,0.6880952380952381,0.028531718436086193,0.8084523809523809,0.02594921343710701
10,407a496cdf79,2026-07-31 12:53:32,True,0.7990000000000002,0.018275666882497044,0.86425,0.01569223403930664,0.015475130081176758,8.35584184291234e-08,1.291028947307706e-06,25,4,0.27,1.0,1.0,1,0,0.7070064358399836,0.03600457642097176,0.7990000000000002,0.018275666882497044,0.7726138853543462,0.025510757966364768,0.8199277340045565,0.02110773105447688,0.6859523809523809,0.03213315550237297,0.78775,0.02658702499263851
11,407a496cdf79,2026-07-31 12:53:37,True,0.7990000000000002,0.018275666882497044,0.86425,0.014928674697875977,0.01584153175354004,9.237647285186352e-08,1.4272733106251948e-06,25,4,0.27,1.0,1.0,1,0,0.7070064358399836,0.03600457642097176,0.7990000000000002,0.018275666882497044,0.7726138853543462,0.025510757966364768,0.8199277340045565,0.02110773105447688,0.6859523809523809,0.03213315550237297,0.78775,0.02658702499263851
12,f98b1840a062,2026-07-31 12:53:42,True,0.8100000000000002,0.024083189157584565,0.8099999999999999,0.09673128128051758,0.015950632095336915,1.8626871081007943e-07,2.8779661242329618e-06,25,4,0.03,1.0,1.0,1,0,0.7061750735401464,0.04882752473288025,0.8100000000000002,0.024083189157584565,0.7759877201783404,0.034665492077833135,0.8935504960528251,0.01079656058201379,0.6833333333333332,0.040138648595974345,0.8056785714285715,0.023210396499606246
13,8a2295f848a8,2026-07-31 12:53:48,True,0.783,0.02039607805437116,0.99975,0.21395750045776368,0.016874074935913086,4.43910490756824e-07,6.8586900560683806e-06,200,10,0.03,1.0,1.0,1,0,0.7041259588562933,0.03396873693188063,0.783,0.02039607805437116,0.7651232917991532,0.024812577143928698,0.761847493807937,0.0347752548315065,0.6878571428571428,0.032874391607796614,0.8040238095238095,0.02818854562244016
14,779cde2cc123,2026-07-31 12:53:53,True,0.8100000000000002,0.024083189157584565,0.8102499999999999,0.04203963279724121,0.0156801700592041,1.4169156888313668e-07,2.1892218696400754e-06,100,4,0.03,1.0,1.0,1,0,0.7061750735401464,0.04882752473288025,0.8100000000000002,0.024083189157584565,0.7759877201783404,0.034665492077833135,0.8935504960528251,0.01079656058201379,0.6833333333333332,0.040138648595974345,0.797345238095238,0.03983416943306046
15,a930654d14d6,2026-07-31 12:53:59,True,0.7949999999999999,0.01923538406167134,0.9205,0.22906851768493652,0.01723513603210449,5.009318388405457e-07,7.73970494809912e-06,275,9,0.01,1.0,1.0,1,0,0.7039931183353539,0.03654541556097037,0.7949999999999999,0.01923538406167134,0.7695549131054643,0.02595459382815137,0.8088911281242748,0.04000738572635132,0.684047619047619,0.03217899203431753,0.7940238095238095,0.03626827477427127
16,b9e607f28a46,2026-07-31 12:54:05,True,0.759,0.02222611077089289,1.0,0.1785733699798584,0.017491674423217772,3.935835918080849e-07,6.08110851979069e-06,250,11,0.22,1.0,1.0,1,0,0.6873762794125492,0.028893327335607236,0.759,0.02222611077089289,0.7471220247244433,0.02287623416301669,0.7158557584769707,0.03314615839884793,0.6764285714285714,0.028822311211677103,0.7969285714285714,0.028891795161678696
17,b12f215015ed,2026-07-31 12:54:10,True,0.763,0.022494443758404006,1.0,0.15779685974121094,0.016462230682373048,3.630944606737749e-07,5.610032695084372e-06,225,13,0.21,1.0,1.0,1,0,0.695055188539209,0.028178281077595176,0.763,0.022494443758404006,0.7525498394893239,0.022766217879440036,0.720763446300355,0.033793980259220514,0.684047619047619,0.027464675312529673,0.7988809523809524,0.023652649868566307
18,b7d8eba3b3e9,2026-07-31 12:54:15,True,0.778,0.01860107523773829,0.9280000000000002,0.020089054107666017,0.016465187072753906,1.0075682464041631e-07,1.556754899088011e-06,25,6,0.24,1.0,1.0,1,0,0.692728043716724,0.03027765622602018,0.778,0.01860107523773829,0.75734333550097,0.02202436780784738,0.7598959495117474,0.03590340029989414,0.6766666666666667,0.027874435007442324,0.7883095238095238,0.034067210480636254
