job_id,config_hash,timestamp,success,mean_score,std_score,mean_train_score,fit_time_mean,score_time_mean,kg_co2,energy_kwh,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,gamma,f1_macro_mean,f1_macro_std,f1_micro_mean,f1_micro_std,f1_weighted_mean,f1_weighted_std,precision_macro_mean,precision_macro_std,recall_macro_mean,recall_macro_std,roc_auc_ovr_mean,roc_auc_ovr_std
0,1a259f0403b7,2026-07-30 22:37:24,True,0.8100000000000002,0.024083189157584565,0.8099999999999999,0.14023404121398925,0.022560310363769532,3.411490870506919e-07,5.270963177739268e-06,275,4,0.01,1.0,1.0,1,0,0.7061750735401464,0.04882752473288025,0.8100000000000002,0.024083189157584565,0.7759877201783404,0.034665492077833135,0.8935504960528251,0.01079656058201379,0.6833333333333332,0.040138648595974345,0.797607142857143,0.04024305055427374
1,dbdbf2693a04,2026-07-30 22:37:30,True,0.76,0.010488088481701525,1.0,0.15761985778808593,0.021857166290283205,3.843189999781209e-07,5.937964878942347e-06,300,4,0.22,1.0,1.0,1,0,0.6930226908616673,0.01445270883711547,0.76,0.010488088481701525,0.7503053796285706,0.010852201575690508,0.7152838340286821,0.014941611524100925,0.6828571428571429,0.015367751964861837,0.7912857142857141,0.02701110462833077
2,ef6ebbf9651b,2026-07-30 22:37:35,True,0.8009999999999999,0.01714642819948223,0.8472500000000001,0.03450331687927246,0.01514883041381836,1.2541233152496097e-07,1.9376976418649285e-06,50,6,0.08,1.0,1.0,1,0,0.704069426390369,0.035826977812394044,0.8009999999999999,0.01714642819948223,0.771755281307766,0.025093791781412668,0.8388972210682082,0.022813327669214827,0.6826190476190476,0.03119501966180952,0.7796428571428571,0.03299797286428252
3,c1a616f68084,2026-07-30 22:37:42,True,0.774,0.01685229954635273,1.0,0.2994822025299072,0.024418067932128907,6.58002207598334e-07,1.0166538732687879e-05,200,12,0.09,1.0,1.0,1,0,0.7019219064669892,0.02430992921066951,0.774,0.01685229954635273,0.7604690242560299,0.01843796232444414,0.7399645972615685,0.027370390472323813,0.6880952380952381,0.024490268324997715,0.805,0.02253719525735241
4,716ba47356d6,2026-07-30 22:37:47,True,0.7829999999999999,0.01630950643030006,0.94025,0.08043718338012695,0.02037496566772461,2.3518606408032902e-07,3.6337693130060747e-06,125,5,0.07,1.0,1.0,1,0,0.6972881130162154,0.034153172315859216,0.7829999999999999,0.01630950643030006,0.7615371739963057,0.02323805764461901,0.7709991609083323,0.025668938287682196,0.6811904761904761,0.03208018581609943,0.7945,0.029241003422918632
5,d7818960802d,2026-07-30 22:37:52,True,0.773,0.02767670500619612,1.0,0.0600583553314209,0.019177818298339845,1.9290814207303227e-07,2.9805494200310105e-06,50,8,0.28,1.0,1.0,1,0,0.7039123932367526,0.03119553731043849,0.773,0.02767670500619612,0.7610239800179295,0.02641107446943135,0.7397673582103036,0.047056692455406494,0.6902380952380953,0.02830630964171915,0.8053809523809523,0.024223941044509898
6,ff7d92216772,2026-07-30 22:37:58,True,0.752,0.021587033144922923,1.0,0.09481077194213867,0.016777801513671874,2.7220757018424936e-07,4.205774347946173e-06,225,4,0.3,1.0,1.0,1,0,0.6829676693963206,0.033114350922545686,0.752,0.021587033144922923,0.7420471098069908,0.02484671631394552,0.7029030944662258,0.029873701822949492,0.6742857142857144,0.03338940861575347,0.7900238095238095,0.03233920628337298
7,e642fd440fd3,2026-07-30 22:38:04,True,0.766,0.014628738838327807,1.0,0.20238080024719238,0.024335432052612304,4.708277520908607e-07,7.2745782959106006e-06,250,6,0.23,1.0,1.0,1,0,0.697964620418918,0.020331270050470307,0.766,0.014628738838327807,0.7551405512500102,0.01503153223993468,0.7263504434231146,0.02419044391076502,0.6871428571428572,0.0227053491454898,0.7938809523809526,0.03157914866467255
8,9451a7cc5239,2026-07-30 22:38:09,True,0.773,0.018601075237738292,1.0,0.0443324089050293,0.018446588516235353,1.6143999235448545e-07,2.494347156170342e-06,50,6,0.28,1.0,1.0,1,0,0.7003234660220582,0.025605441576409132,0.773,0.018601075237738292,0.7592753674631478,0.01983165493745432,0.7387683866717102,0.030738771327184247,0.6864285714285714,0.025181878089749084,0.8073809523809524,0.024754005150178338
9,733913ab4465,2026-07-30 22:38:16,True,0.769,0.019339079605813735,1.0,0.35064196586608887,0.027114725112915038,7.61278303347884e-07,1.1762217919587374e-05,275,8,0.06,1.0,1.0,1,0,0.6993303857686752,0.027362758169227657,0.769,0.019339079605813735,0.7570968641603146,0.020812031353241344,0.7311591377406884,0.03189978961129376,0.6873809523809523,0.027854090186829918,0.8012142857142857,0.028292627822732296
10,6779c4f5d736,2026-07-30 22:38:23,True,0.7569999999999999,0.03091924966748064,1.0,0.2963512897491455,0.024988603591918946,6.463052590438107e-07,9.98581368471599e-06,300,13,0.21,1.0,1.0,1,0,0.6896849255426976,0.03666609664968829,0.7569999999999999,0.03091924966748064,0.7473830535087492,0.030474833733000063,0.712747115696578,0.043956781088084027,0.6797619047619048,0.03500890719183392,0.7955714285714286,0.02434323254051407
